BaseStationId,year,month,day,success_call_rate,fail_rate,cell_avail,max_active_abon,overload_rate
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,1,99,1.56,98,6700,5.04
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,2,93,4.56,94.5,9850,4.5
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,3,94,3.72,91,3800,9
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,4,95.5,3.48,95,8425,7.56
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,5,93.5,2.64,100,4500,2.16
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,6,95,1.92,95.5,2950,4.14
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,7,99.5,1.8,92,1775,5.22
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,8,96,4.92,100,8900,9.54
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,9,89,0.84,92.5,8225,6.48
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,10,89,4.2,87.5,3650,8.64
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,1,95,4.32,98.5,7525,5.94
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,2,97.5,3.24,96.5,5950,5.94
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,3,99.5,4.8,93.5,4850,8.1
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,4,97,4.2,91.5,6700,5.94
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,5,93,3.36,95.5,8325,5.76
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,6,95,2.4,99,3550,9.9
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,7,95,4.2,97.5,8350,9.36
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,8,93,4.44,93,3325,3.24
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,9,93,1.08,94,9775,9.54
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,10,95,3.48,92,9050,4.5
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,1,98.5,3.72,99,6650,9.54
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,2,96,3.24,94,2800,3.78
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,3,88.5,3.72,93.5,5975,5.76
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,4,89,1.32,95.5,6875,5.94
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,5,97,1.56,97.5,3350,9.72
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,6,99.5,4.08,98,3500,5.76
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,7,94,1.92,99.5,9575,7.38
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,8,99.5,4.8,100,7350,9.36
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,9,85.5,2.64,99.5,7500,9
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,10,94.5,1.8,93.5,9475,4.14
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,1,93.5,4.32,91.5,6875,9.72
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,2,98.5,3,94,7600,6.12
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,3,95,4.8,97,4150,3.42
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,4,90.5,3.24,94,5500,2.16
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,5,90.5,4.8,97,8125,7.2
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,6,94,2.4,95.5,6075,5.94
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,7,91.5,4.44,90.5,7725,9.54
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,8,90,2.16,99,3775,8.1
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,9,92,3,100,3500,3.42
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,2,10,97.5,4.44,89,7850,7.2
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,1,92.5,3.12,97,8275,9.54
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,2,90.5,3.48,92.5,4775,2.34
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,3,93,3.84,95,6025,4.32
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,4,99,0.48,93,6525,8.46
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,5,100,3.96,91,5325,9.9
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,6,94.5,3.96,98.5,6775,2.16
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,7,100,3.84,96,4450,3.24
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,8,93.5,1.56,86,6400,1.26
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,9,90.5,4.8,87,7800,5.22
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,1,10,95.5,4.68,92.5,5150,7.38
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,1,90.5,3.12,98.5,7075,6.12
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,2,89,3.36,89.5,7375,8.46
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,3,92,3.36,94.5,5525,6.84
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,4,92.5,4.8,95,3025,8.82
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,5,89.5,3.72,94.5,7125,8.1
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,6,88.5,2.28,97.5,6775,4.68
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,7,100,3,90.5,9275,7.74
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,8,95,2.52,99.5,4025,9.54
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,9,95.5,4.56,100,6075,1.26
91f58c82-8de7-4958-86c8-e6d927dce8c5,2015,2,10,92.5,4.68,99.5,5350,7.56
6d930204-e831-4beb-a512-080e015c4042,2015,1,1,90.5,4.92,92.5,8325,2.34
6d930204-e831-4beb-a512-080e015c4042,2015,1,2,94,2.52,99.5,7950,9
6d930204-e831-4beb-a512-080e015c4042,2015,1,3,97.5,3.84,100,8075,5.22
6d930204-e831-4beb-a512-080e015c4042,2015,1,4,90.5,3.96,88,8575,9.54
6d930204-e831-4beb-a512-080e015c4042,2015,1,5,98.5,3.24,95,7800,4.32
6d930204-e831-4beb-a512-080e015c4042,2015,1,6,94,2.76,99.5,4475,4.5
6d930204-e831-4beb-a512-080e015c4042,2015,1,7,88.5,3.72,99.5,8075,9.9
6d930204-e831-4beb-a512-080e015c4042,2015,1,8,93.5,1.92,97.5,9850,7.92
6d930204-e831-4beb-a512-080e015c4042,2015,1,9,97,0.84,97.5,6125,4.68
6d930204-e831-4beb-a512-080e015c4042,2015,1,10,98,1.32,92.5,7925,6.48
6d930204-e831-4beb-a512-080e015c4042,2015,2,1,85.5,4.8,96,5725,8.1
6d930204-e831-4beb-a512-080e015c4042,2015,2,2,97,3.96,96.5,7825,3.78
6d930204-e831-4beb-a512-080e015c4042,2015,2,3,91,1.08,94,7025,8.64
6d930204-e831-4beb-a512-080e015c4042,2015,2,4,88,3.72,95.5,4650,9.72
6d930204-e831-4beb-a512-080e015c4042,2015,2,5,94.5,4.8,99,7225,7.92
6d930204-e831-4beb-a512-080e015c4042,2015,2,6,91,3,90.5,7375,6.84
6d930204-e831-4beb-a512-080e015c4042,2015,2,7,99.5,3.36,94.5,9775,7.74
6d930204-e831-4beb-a512-080e015c4042,2015,2,8,97,4.44,93,9200,3.96
6d930204-e831-4beb-a512-080e015c4042,2015,2,9,99,4.2,93,2125,4.86
6d930204-e831-4beb-a512-080e015c4042,2015,2,10,95.5,2.64,92.5,9750,9.36
415bb9ec-d86c-47a5-9d85-d33e38da4712,2015,1,1,95.5,3.48,96,9100,3.96
