BaseStationId,year,month,day,success_call_rate,fail_rate,cell_avail,max_active_abon,overload_rate
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,1,94,1.2,99,3275,2.52
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,2,96.5,1.8,90.5,5050,8.28
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,3,96,4.2,98.5,4200,7.38
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,4,94,4.44,92,9750,6.84
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,5,94.5,2.04,95,8825,8.28
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,6,90.5,4.68,97,9400,9
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,7,93.5,3.24,97.5,8500,6.84
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,8,90.5,4.2,92,4925,9.72
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,9,99,3.24,89.5,3350,5.4
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,1,10,100,4.8,93,8850,8.28
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,1,98,1.44,92,10000,9.18
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,2,92,3.48,90,9575,3.6
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,3,93,3.6,94.5,2625,8.28
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,4,97.5,1.44,94,3300,3.78
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,5,99,1.68,97,4075,9.54
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,6,98.5,3.6,100,6425,8.28
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,7,95,4.92,89,8275,7.92
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,8,92.5,1.32,90.5,9700,6.12
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,9,92.5,4.8,99.5,7975,7.38
aa0860f1-55cc-4e14-8d33-5d88bed59b7e,2015,2,10,99.5,3.72,92,9875,1.44
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,1,94,4.44,98,5950,5.04
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,2,87.5,3.72,94.5,8275,6.84
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,3,96.5,4.8,96,8300,7.38
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,4,93,3,95.5,7100,9.54
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,5,94.5,2.52,91.5,3800,9.18
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,6,96,4.68,99.5,3425,8.46
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,7,99.5,2.76,86.5,8450,6.3
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,8,94.5,3,99,5800,5.94
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,9,92.5,3,94.5,7050,8.64
81a4a4aa-f99c-4edd-aef5-3c6dad9380ba,2015,1,10,97,4.8,88.5,7875,9
